"Gender","State","State.Rate","Height","Weight","BMI","Age","Risk"
"Male","MA",0.100433675996913,184,67.8,20.0259924385633,77,"High"
"Male","VA",0.141723188012751,163,89.4,33.6482366667921,82,"High"
"Male","NY",0.0908031518537939,170,81.2,28.0968858131488,31,"Low"
"Male","TN",0.119972760777795,175,99.7,32.5551020408163,39,"Low"
"Male","FL",0.110344601599586,184,72.1,21.2960775047259,68,"High"
"Male","WA",0.162924697775449,166,98.4,35.7091014661054,64,"High"
"Male","NY",0.0908031518537939,178,98.9,31.2144931195556,67,"High"
"Male","NJ",0.132262016886695,182,97.1,29.3140925009057,46,"Low"
"Male","UT",0.105887423735871,174,79.3,26.1923635883208,73,"High"
"Male","PA",0.12856015999466,168,73.9,26.1833900226757,81,"High"
"Male","AZ",0.114179822725206,179,72.1,22.5024187759433,18,"Low"
"Male","OH",0.127584238747809,186,73.5,21.2452306625043,35,"Low"
"Male","CA",0.144250618094429,165,101.4,37.2451790633609,64,"High"
"Male","KY",0.318099534961676,174,63.5,20.9737085480248,82,"High"
"Male","CA",0.144250618094429,170,100.2,34.6712802768166,43,"Low"
"Male","NC",0.179748900356986,189,74.2,20.7720948461689,26,"Low"
"Male","TX",0.100671298862312,172,68.7,23.2220118983234,63,"Low"
"Male","TX",0.100671298862312,176,98.2,31.7019628099174,29,"Low"
"Male","MI",0.116100660793972,174,78.4,25.8950984277976,52,"Low"
"Male","IN",0.127531359173892,171,75,25.6489176156766,27,"Low"
"Male","NY",0.0908031518537939,178,108.2,34.149728569625,50,"Low"
"Male","IL",0.109404745365772,183,92.8,27.7105915375198,35,"Low"
"Male","NY",0.0908031518537939,183,72.4,21.6190390874616,32,"Low"
"Male","CA",0.144250618094429,185,88.2,25.7706355003652,70,"High"
"Male","OH",0.127584238747809,166,64.4,23.3705907969226,78,"High"
"Male","NC",0.179748900356986,171,70,23.9389897746315,54,"Low"
"Male","PA",0.12856015999466,163,64.3,24.2011366630283,78,"High"
"Male","OH",0.127584238747809,186,95.9,27.7199676263152,49,"Low"
"Male","NY",0.0908031518537939,178,65.8,20.7675798510289,74,"High"
"Male","LA",0.139323916055719,189,67.5,18.896447467876,42,"Low"
"Male","TX",0.100671298862312,170,68,23.5294117647059,30,"Low"
"Male","CA",0.144250618094429,181,93,28.3874118616648,76,"High"
"Male","TX",0.100671298862312,189,95.9,26.8469527728787,27,"Low"
"Male","WA",0.162924697775449,166,85.6,31.0640150965307,80,"High"
"Male","TX",0.100671298862312,175,96.1,31.3795918367347,45,"Low"
"Male","FL",0.110344601599586,180,101.5,31.3271604938272,77,"High"
"Male","MO",0.114386258353448,176,86.5,27.9248450413223,64,"Low"
"Male","IA",0.125604724131446,174,53.9,17.8028801691108,19,"Low"
"Male","NY",0.0908031518537939,182,90.9,27.4423378818983,43,"Low"
"Male","NC",0.179748900356986,180,63.1,19.4753086419753,81,"High"
"Male","OH",0.127584238747809,179,99.3,30.9915420867014,56,"Low"
"Male","KY",0.318099534961676,183,92.3,27.5612887813909,64,"Low"
"Male","NJ",0.132262016886695,181,116.5,35.5605750740209,43,"Low"
"Male","GA",0.137354303950987,179,99.3,30.9915420867014,50,"Low"
"Male","MA",0.100433675996913,181,104.1,31.775586825799,33,"Low"
"Male","MS",0.265578721907092,177,65.2,20.8113888090906,84,"High"
"Male","TX",0.100671298862312,183,102.1,30.4876228015169,27,"Low"
"Male","NJ",0.132262016886695,185,96.8,28.2834185536888,29,"Low"
"Male","ID",0.2279862177267,184,109,32.195179584121,60,"Low"
"Male","PA",0.12856015999466,170,64.5,22.318339100346,81,"High"
"Male","PA",0.12856015999466,177,83.2,26.5568642471831,58,"Low"
"Male","LA",0.139323916055719,183,81.4,24.3064886977814,42,"Low"
"Male","MO",0.114386258353448,178,66.9,21.1147582375963,51,"Low"
